Priority_Rank,Priority_Score,Predicted_Temp_Reduction,Estimated_Cooling_Celsius,Total_Cost_USD,Avg_Feasibility,N_Interventions,Confidence,Interventions,Co_Benefits_Count,Coverage_street_trees,Coverage_urban_forests,Coverage_pocket_parks,Coverage_green_roofs,Coverage_vertical_gardens,Coverage_bioswales,Coverage_cool_pavements,Coverage_high_albedo_materials,Coverage_lake_restoration,Coverage_jaali_structures,Coverage_building_orientation,Coverage_green_walls,Coverage_ponds,Coverage_water_channels,Coverage_fountains,Coverage_wind_corridors,Coverage_building_spacing,Coverage_artificial_shading,Coverage_ventilation_corridors,Coverage_urban_agriculture,Coverage_urban_wetlands,Coverage_reflective_roof_coatings,Coverage_reflective_concrete,Coverage_rain_gardens,Coverage_permeable_pavements,Coverage_impervious_surface_reduction,Coverage_cool_roofs
43,4.6800,0.1600,1.2900,346.0000,0.7750,6,0.9000,Reflective Roof Coatings (41%) + Permeable Pavements (19%) + Artificial Shading Structures (12%) + Jaali (Lattice Screen) Structures (20%) + Building Orientation Optimization (12%) + Impervious Surface Reduction (8%),22,,,,,,,,,,0.2000,0.1200,,,,,,,0.1200,,,,0.4100,,,0.1900,0.0800,
44,4.6600,0.2900,1.5100,240.0000,0.8000,5,0.8500,Cool Roofs (65%) + Cool Pavements (16%) + High Albedo Materials (13%) + Permeable Pavements (20%) + Building Orientation Optimization (7%),19,,,,,,,0.1600,0.1300,,,0.0700,,,,,,,,,,,,,,0.2000,,0.6500
45,4.6400,0.8500,4.3700,1246.0000,0.8880,4,0.8000,Green Roofs (79%) + Cool Roofs (99%) + Reflective Roof Coatings (100%) + High Albedo Materials (100%),15,,,,0.7900,,,,1.0000,,,,,,,,,,,,,,1.0000,,,,,0.9900
46,4.6200,0.7500,4.0700,1114.0000,0.7300,5,0.8500,Green Roofs (78%) + Cool Roofs (100%) + High Albedo Materials (28%) + Building Spacing Optimization (39%) + Building Orientation Optimization (77%),20,,,,0.7800,,,,0.2800,,,0.7700,,,,,,0.3900,,,,,,,,,,1.0000
47,4.6000,0.9700,4.8800,113560.0000,0.8370,4,0.8000,Urban Forests / Miyawaki Forests (75%) + Green Roofs (79%) + Cool Roofs (52%) + Reflective Roof Coatings (67%),17,,0.7500,,0.7900,,,,,,,,,,,,,,,,,,0.6700,,,,,0.5200
48,4.5800,0.4600,2.7600,1098.0000,0.7700,5,0.8500,Green Roofs (77%) + Reflective Roof Coatings (55%) + Cool Pavements (39%) + High Albedo Materials (49%) + Building Spacing Optimization (16%),20,,,,0.7700,,,0.3900,0.4900,,,,,,,,,0.1600,,,,,0.5500,,,,,
49,4.5500,0.4800,2.6600,183.0000,0.8120,4,0.8000,Cool Roofs (68%) + Reflective Roof Coatings (68%) + High Albedo Materials (47%) + Building Spacing Optimization (42%),14,,,,,,,,0.4700,,,,,,,,,0.4200,,,,,0.6800,,,,,0.6800
50,4.4900,0.5300,3.1000,240.0000,0.8120,4,0.8000,Cool Roofs (74%) + Reflective Roof Coatings (68%) + High Albedo Materials (95%) + Building Spacing Optimization (43%),14,,,,,,,,0.9500,,,,,,,,,0.4300,,,,,0.6800,,,,,0.7400
51,4.4600,0.6000,2.6100,1097.0000,0.8380,4,0.8000,Green Roofs (77%) + Cool Roofs (70%) + High Albedo Materials (44%) + Impervious Surface Reduction (8%),16,,,,0.7700,,,,0.4400,,,,,,,,,,,,,,,,,,0.0800,0.7000
52,4.3200,0.4200,1.7300,139.0000,0.9500,2,0.7000,Cool Roofs (70%) + Reflective Roof Coatings (68%),7,,,,,,,,,,,,,,,,,,,,,,0.6800,,,,,0.7000
53,4.2000,0.9900,4.9400,115074.0000,0.8000,3,0.7500,Urban Forests / Miyawaki Forests (76%) + Green Roofs (77%) + Cool Roofs (100%),14,,0.7600,,0.7700,,,,,,,,,,,,,,,,,,,,,,,1.0000
54,4.1800,0.9500,4.4500,114180.0000,0.8670,3,0.7500,Urban Forests / Miyawaki Forests (76%) + Cool Roofs (96%) + Reflective Roof Coatings (73%),12,,0.7600,,,,,,,,,,,,,,,,,,,,0.7300,,,,,0.9600
55,4.0600,0.3000,1.3200,111.0000,0.7670,3,0.7500,Cool Roofs (70%) + High Albedo Materials (6%) + Building Spacing Optimization (15%),11,,,,,,,,0.0600,,,,,,,,,0.1500,,,,,,,,,,0.7000
56,3.9000,0.2700,0.8800,44.0000,0.9500,1,0.6500,Reflective Roof Coatings (88%),4,,,,,,,,,,,,,,,,,,,,,,0.8800,,,,,
57,3.8400,0.6700,2.6900,1098.0000,0.8500,2,0.7000,Green Roofs (79%) + Cool Roofs (100%),9,,,,0.7900,,,,,,,,,,,,,,,,,,,,,,,1.0000
58,3.7300,0.2000,0.6900,34.0000,0.9500,1,0.6500,Reflective Roof Coatings (69%),4,,,,,,,,,,,,,,,,,,,,,,0.6900,,,,,
59,3.6800,0.3500,1.7200,598.0000,0.8750,2,0.7000,Bioswales (82%) + Cool Roofs (71%),8,,,,,,0.8200,,,,,,,,,,,,,,,,,,,,,0.7100
