PixelID,Latitude,Longitude,Timestamp,LST,NDVI,NDBI,NDWI,MNDWI,SAVI,Albedo,Impervious_Frac,LULC_ESA,LULC_DW,Population_Density,Building_Height,Building_Density,Building_Volume,Road_Density_Proxy,Street_Width_Proxy,Tree_Cover_Pct,Dist_Water,Dist_Green,Elevation,Slope,Aspect,AirTemp,Humidity,WindSpeed,WindDirection,SolarRadiation,Cloud_Cover_Proxy,Pressure,Rainfall,Nighttime_Lights,UHI_Intensity,UTFVI,UTCI_Approx,Anthropogenic_Heat,Green_Space_Density,Surface_Roughness,QualityScore,LULC_ESA_Trees,LULC_ESA_Shrubland,LULC_ESA_Grassland,LULC_ESA_Cropland,LULC_ESA_Built_up,LULC_ESA_Bare,LULC_ESA_Water,LULC_DW_Water,LULC_DW_Trees,LULC_DW_Grass,LULC_DW_Flooded_Veg,LULC_DW_Crops,LULC_DW_Shrub,LULC_DW_Built,LULC_DW_Bare,AirTemp_zscore,Albedo_norm,Anthropogenic_Heat_zscore,Aspect_cos,Aspect_sin,Building_Density_zscore,Building_Height_zscore,Building_Volume_zscore,Dist_Green_zscore,Dist_Water_zscore,Elevation_zscore,Green_Space_Density_norm,Humidity_zscore,Impervious_Frac_norm,LST_zscore,MNDWI_norm,NDBI_norm,NDVI_norm,NDWI_norm,Nighttime_Lights_zscore,Population_Density_zscore,Pressure_zscore,QualityScore_norm,Rainfall_zscore,Road_Density_Proxy_norm,SAVI_norm,Slope_zscore,SolarRadiation_zscore,Surface_Roughness_zscore,Tree_Cover_Pct_norm,UHI_Intensity_zscore,UTFVI_zscore,WindDirection_cos,WindDirection_sin,WindSpeed_zscore
10,28.562379,77.318306,2024-03-01_to_2024-06-30,40.370000,0.292400,-0.160100,-0.009400,0.078400,0.292400,0.111100,0,40,4,70.900000,2.880000,3.850000,11.090000,0.034100,5.852500,2.700000,8.500000,2791.600000,225.100000,3.030000,184.100000,34.670000,63.500000,2.060000,39.000000,255.070000,0.271200,1000.860000,109.280000,2.550000,4.370000,0.062500,33.110000,0.074200,0.080800,5.900000,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.155073,0.114243,-0.182267,-0.997441,-0.071497,-0.421078,-0.275237,-0.356445,1.844164,-1.732763,-0.612056,0.104955,1.632805,0.000000,0.883680,0.529449,0.215674,0.436485,0.446377,-0.548479,-0.291853,-0.230639,0.625000,0.829312,0.223724,0.436485,0.342511,0.146992,0.728755,0.033750,0.883680,0.884696,0.777146,0.629320,-0.776928
11,28.650847,77.258016,2024-03-01_to_2024-06-30,38.530000,0.700100,-0.185800,-0.151400,-0.213000,0.700100,0.259500,0,30,6,21.400000,2.320000,6.550000,15.200000,0.003100,5.077500,67.100000,2365.900000,90.100000,223.000000,2.150000,208.800000,38.030000,61.110000,3.460000,108.300000,257.620000,0.263900,1003.700000,0.060000,4.420000,2.530000,0.014100,34.600000,0.008500,0.628700,1.770000,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.512740,0.664688,-0.614390,-0.876307,-0.481754,-0.284866,-0.367704,-0.346463,-0.879834,-0.114929,-0.703148,0.817532,1.422760,0.000000,0.510977,0.300307,0.176026,0.889989,0.317098,-0.402946,-0.415458,0.159021,0.562500,-1.721786,0.172005,0.889989,-0.263760,0.209213,-1.181881,0.838750,0.510977,0.512155,-0.313992,0.949425,0.430664
12,28.665739,77.126392,2024-03-01_to_2024-06-30,35.230000,0.642500,-0.002600,-0.463600,-0.437600,0.642500,0.132500,0,20,6,24.900000,2.590000,9.580000,24.810000,0.019100,5.477500,59.800000,4241.700000,45.600000,208.500000,2.130000,63.300000,35.420000,34.760000,3.620000,2.000000,238.020000,0.319900,1008.770000,115.510000,0.500000,-0.770000,-0.072900,31.140000,0.098800,0.578700,5.510000,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.217206,0.193620,-0.020468,0.449319,0.893371,-0.132006,-0.323122,-0.323123,-0.924705,1.172393,-1.332119,0.752504,-0.893003,0.000000,-0.157456,0.123693,0.458655,0.825918,0.032866,-0.708020,-0.406718,0.854646,0.812500,0.974828,0.198699,0.825918,-0.277538,-0.269032,0.548332,0.747500,-0.157456,-0.157496,0.999391,0.034899,0.568675
13,28.591922,77.331056,2024-03-01_to_2024-06-30,43.640000,0.012500,0.287900,-0.080100,-0.024500,0.012500,0.210800,1,50,3,1176.700000,9.410000,72.390000,681.190000,0.347800,13.695000,4.100000,2078.900000,779.100000,211.100000,1.160000,249.800000,35.390000,28.100000,2.140000,97.800000,218.820000,0.374800,997.990000,81.020000,36.300000,7.640000,0.148500,32.540000,0.508900,0.063000,7.290000,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.202315,0.484050,2.676848,-0.345298,-0.938493,3.036688,0.802997,1.271054,-0.185096,-0.311891,-1.219338,0.081805,-1.478316,1.000000,1.546036,0.448533,0.906819,0.125139,0.382010,2.078115,2.469419,-0.624414,0.687500,0.169231,0.747080,0.125139,-0.945813,-0.737516,1.371802,0.051250,1.546036,1.546650,-0.135716,0.990748,-0.707922
14,28.689943,77.315034,2024-03-01_to_2024-06-30,36.000000,0.663800,-0.088900,-0.389700,-0.402600,0.663800,0.087800,0,30,5,86.700000,0.420000,6.630000,2.780000,0.075900,6.897500,66.800000,908.600000,26.000000,242.700000,4.530000,213.100000,34.400000,56.930000,3.900000,302.600000,210.720000,0.397900,1012.990000,147.110000,4.290000,0.000000,-0.052500,30.370000,0.033800,0.440600,3.910000,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.289094,0.027819,-0.447987,-0.837719,-0.546102,-0.280830,-0.681432,-0.376628,-0.944468,-1.115044,0.151384,0.572896,1.055402,0.000000,-0.001488,0.151215,0.325517,0.849611,0.100146,-0.413063,-0.252399,1.433647,0.437500,1.712923,0.293460,0.849611,1.375926,-0.935158,-0.191866,0.835000,-0.001488,-0.000474,0.538771,-0.842452,0.810193
15,28.714373,77.200092,2024-03-01_to_2024-06-30,32.190000,0.567300,-0.276000,-0.021400,-0.115200,0.567300,0.146800,0,30,0,16.400000,3.590000,9.640000,34.610000,-0.024900,5.000000,64.900000,1555.200000,57.900000,220.500000,1.840000,218.100000,34.350000,34.540000,2.890000,41.200000,185.640000,0.469600,1013.690000,69.760000,7.780000,-3.810000,-0.153000,30.780000,0.090800,0.547100,4.820000,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.313913,0.246662,-0.073086,-0.786935,-0.617036,-0.128979,-0.158002,-0.299321,-0.912303,-0.671296,-0.811592,0.711406,-0.912338,0.000000,-0.773225,0.377212,0.036871,0.742269,0.435452,-0.141454,-0.427944,1.529690,0.312500,-0.093774,0.125292,0.742269,-0.477332,-1.547116,0.229121,0.811250,-0.773225,-0.774036,0.752415,0.658689,-0.060998
16,28.536755,77.268158,2024-03-01_to_2024-06-30,36.550000,0.341700,-0.021300,-0.217000,-0.210500,0.341700,0.258600,0,60,1,27.000000,3.670000,4.350000,15.960000,-0.046300,5.000000,7.600000,4041.000000,1706.900000,250.800000,4.140000,254.600000,37.880000,38.650000,4.400000,296.000000,185.750000,0.469300,992.640000,144.120000,9.650000,0.550000,-0.038200,32.340000,0.073100,0.253400,3.770000,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.438284,0.661350,-0.189502,-0.265556,-0.964095,-0.395853,-0.144792,-0.344617,0.750430,1.034657,0.502740,0.329432,-0.551132,0.000000,0.109918,0.302273,0.429806,0.491324,0.257374,0.004079,-0.401475,-1.358456,0.375000,1.643084,0.089590,0.491324,1.107238,-1.544432,-0.256634,0.095000,0.109918,0.109595,0.438371,-0.898794,1.241476
17,28.537059,77.198413,2024-03-01_to_2024-06-30,35.750000,0.108600,-0.002200,-0.409100,-0.349500,0.108600,0.171900,0,40,4,40.400000,0.090000,4.480000,0.400000,0.099300,7.482500,8.300000,1216.500000,2059.100000,219.200000,2.380000,256.300000,33.750000,45.670000,1.760000,86.900000,209.700000,0.400900,1000.160000,83.280000,2.940000,-0.250000,-0.059300,31.940000,0.034400,0.055400,4.650000,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.611737,0.339763,-0.444040,-0.236838,-0.971549,-0.389295,-0.735922,-0.382409,1.105563,-0.903738,-0.867982,0.071921,0.065820,0.000000,-0.052127,0.192970,0.459272,0.232036,0.082484,-0.518127,-0.368014,-0.326682,1.000000,0.222018,0.332499,0.232036,-0.105303,-0.960046,0.150475,0.103750,-0.052127,-0.052815,0.054079,0.998537,-1.035697
18,28.555887,77.128161,2024-03-01_to_2024-06-30,32.560000,0.785300,-0.058400,-0.404200,-0.448900,0.785300,0.239200,0,30,4,75.300000,4.720000,2.920000,13.780000,0.093100,7.327500,79.200000,512.900000,1.200000,210.100000,0.230000,19.600000,33.290000,58.310000,2.180000,129.900000,283.400000,0.190300,997.560000,106.200000,6.380000,-3.440000,-0.143200,31.690000,0.034100,0.504300,4.090000,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.840068,0.589392,-0.446014,0.942057,0.335452,-0.467995,0.028584,-0.349912,-0.969475,-1.386604,-1.262716,0.655742,1.176683,0.000000,-0.698279,0.114807,0.372570,0.984761,0.086945,-0.250409,-0.280866,-0.683412,0.437500,0.757371,0.322155,0.984761,-1.586531,0.838250,-0.108594,0.990000,-0.698279,-0.698604,-0.641450,0.767165,-0.673420
19,28.483503,77.206524,2024-03-01_to_2024-06-30,28.200000,0.343300,0.032200,0.142600,0.154200,0.343300,0.192400,0,80,3,26.500000,3.810000,0.990000,3.770000,0.037900,5.947500,11.600000,405.900000,871.600000,245.500000,0.300000,345.600000,33.580000,40.220000,4.630000,107.000000,214.750000,0.386400,1004.710000,64.320000,6.260000,-7.800000,-0.258000,28.370000,0.040900,0.266400,1.670000,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.696120,0.415801,-0.401289,0.968583,-0.248690,-0.565361,-0.121676,-0.374224,-0.091826,-1.460036,0.272841,0.346339,-0.413152,0.000000,-1.581421,0.589054,0.512342,0.493103,0.584760,-0.259748,-0.402723,0.297597,0.875000,-0.220838,0.230063,0.493103,-1.538305,-0.836825,-1.228144,0.145000,-1.581421,-1.582235,-0.292372,0.956305,1.439867
20,28.548716,77.316882,2024-03-01_to_2024-06-30,39.970000,0.179400,-0.023100,-0.205100,-0.265500,0.179400,0.111000,0,60,3,94.300000,3.440000,1.240000,4.270000,-0.035500,5.000000,9.700000,2502.400000,1582.600000,259.900000,2.850000,103.900000,35.630000,61.340000,4.310000,25.700000,292.550000,0.164100,994.150000,46.140000,7.000000,3.970000,0.051900,31.530000,0.043200,0.012100,0.800000,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.321445,0.113872,-0.386161,-0.240228,0.970716,-0.552749,-0.182770,-0.373009,0.625095,-0.021252,0.897474,0.015607,1.442974,0.000000,0.802657,0.259023,0.427029,0.310790,0.268208,-0.202158,-0.233421,-1.151278,0.437500,-0.645476,0.107608,0.310790,0.218501,1.061512,-1.630626,0.121250,0.802657,0.803107,0.901077,0.433659,1.163845
21,28.714688,77.231560,2024-03-01_to_2024-06-30,49.260000,0.301700,-0.205700,-0.479900,-0.485800,0.301700,0.255900,0,60,4,94.500000,3.470000,3.300000,11.450000,0.094000,7.350000,2.700000,4067.800000,1740.300000,226.700000,3.350000,308.800000,32.600000,48.410000,3.540000,177.000000,285.880000,0.183200,992.280000,52.190000,2.880000,13.260000,0.296200,29.260000,0.032300,0.219400,2.860000,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.182565,0.651335,-0.457853,0.626604,-0.779338,-0.448825,-0.177816,-0.355571,0.784108,1.053049,-0.542653,0.285213,0.306624,0.000000,2.684398,0.085791,0.145326,0.446830,0.018026,-0.522797,-0.232922,-1.407850,0.687500,-0.504164,0.323657,0.446830,0.562973,0.898763,-0.677621,0.033750,2.684398,2.683516,-0.998630,0.052336,0.499670
22,28.661198,77.221778,2024-03-01_to_2024-06-30,32.900000,0.726900,-0.081100,-0.120000,-0.110200,0.726900,0.330500,0,10,7,94.700000,4.210000,2.250000,9.470000,-0.016900,5.000000,75.200000,3238.500000,15.400000,224.900000,0.070000,146.900000,35.670000,44.390000,1.120000,226.800000,208.500000,0.404300,1009.980000,106.470000,1.130000,-3.100000,-0.134200,34.380000,0.070500,0.702500,2.690000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.341300,0.928042,-0.206603,-0.837719,0.546102,-0.501796,-0.055628,-0.360380,-0.955156,0.483918,-0.620732,0.913513,-0.046673,0.000000,-0.629410,0.381143,0.337550,0.919800,0.345685,-0.658991,-0.232422,1.020663,0.875000,0.763677,0.138639,0.919800,-1.696762,-0.989326,-0.756267,0.940000,-0.629410,-0.629330,-0.684547,-0.728969,-1.587740
23,28.507293,77.116183,2024-03-01_to_2024-06-30,37.650000,-0.082500,0.293200,-0.072800,-0.015300,-0.082500,0.152100,1,50,0,539.600000,18.020000,62.610000,1128.230000,0.372400,14.310000,4.200000,3487.500000,1801.000000,243.100000,1.730000,198.700000,33.060000,36.940000,3.350000,359.600000,227.580000,0.349800,1002.240000,22.290000,32.870000,1.650000,-0.009200,29.350000,0.130600,0.035000,6.320000,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.954234,0.266320,0.188688,-0.947210,-0.320613,2.543298,2.224680,2.356798,0.845314,0.654801,0.168735,0.045390,-0.701415,1.000000,0.332729,0.455768,0.914995,0.019466,0.388656,1.811176,0.878529,-0.041297,0.687500,-1.202551,0.788121,0.019466,-0.553116,-0.523770,0.923057,0.052500,0.332729,0.332812,0.999976,-0.006981,0.335782
24,28.659506,77.104632,2024-03-01_to_2024-06-30,29.690000,0.199600,-0.264900,0.522500,0.604600,0.199600,0.084100,0,80,2,31.700000,4.300000,8.520000,36.640000,0.026200,5.655000,6.100000,3593.600000,2326.300000,255.400000,3.250000,306.600000,34.770000,51.190000,1.620000,169.000000,193.960000,0.445800,1014.230000,50.780000,3.800000,-6.310000,-0.218600,33.100000,0.006800,0.130900,0.770000,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.105436,0.014095,-0.625572,0.596225,-0.802817,-0.185482,-0.040767,-0.294391,1.374989,0.727615,0.702276,0.170113,0.550943,0.000000,-1.279613,0.943226,0.053996,0.333259,0.930626,-0.451198,-0.389738,1.603780,0.500000,-0.537098,0.210544,0.333259,0.494078,-1.344106,-1.644505,0.076250,-1.279613,-1.278968,-0.981627,0.190809,-1.156457
25,28.757401,77.287111,2024-03-01_to_2024-06-30,37.610000,0.149900,-0.195200,-0.485500,-0.574300,0.149900,0.176800,0,40,6,25.400000,0.720000,9.130000,6.570000,-0.068400,5.000000,2.200000,1276.600000,226.300000,269.700000,3.100000,86.700000,34.120000,46.250000,3.260000,285.300000,225.410000,0.356000,994.250000,11.850000,4.610000,1.610000,-0.010400,30.640000,0.067800,0.120700,7.260000,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.428079,0.357938,-0.224362,0.057564,0.998342,-0.154708,-0.631896,-0.367423,-0.742500,-0.862493,1.322571,0.156847,0.116793,0.000000,0.324626,0.016199,0.161524,0.277976,0.012928,-0.388159,-0.405470,-1.137558,0.812500,-1.446402,0.052719,0.277976,0.390737,-0.576719,1.357923,0.027500,0.324626,0.323575,0.263873,-0.964557,0.258151
26,28.655582,77.186293,2024-03-01_to_2024-06-30,35.200000,0.615400,-0.130900,-0.381400,-0.366400,0.615400,0.348000,0,30,4,23.000000,4.510000,8.330000,37.570000,0.053500,6.337500,40.900000,4009.700000,21.900000,277.900000,4.550000,268.300000,38.860000,58.200000,2.580000,2.900000,260.070000,0.256900,1011.630000,116.750000,7.760000,-0.800000,-0.073700,36.320000,0.075600,0.366200,2.380000,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.924729,0.992953,-0.173059,-0.029666,-0.999560,-0.195067,-0.006092,-0.292132,-0.948602,1.013176,1.678265,0.476135,1.167016,0.000000,-0.163532,0.179681,0.260722,0.795773,0.107702,-0.143011,-0.411463,1.247049,0.187500,1.003791,0.256089,0.795773,1.389705,0.268993,-0.899681,0.511250,-0.163532,-0.163653,0.998719,0.050593,-0.328393
27,28.475727,77.295583,2024-03-01_to_2024-06-30,40.800000,0.139400,0.018400,-0.336600,-0.396500,0.139400,0.292400,0,60,5,96.700000,0.000000,1.150000,5.530000,-0.026800,5.000000,8.000000,4300.700000,2227.800000,264.500000,3.730000,121.900000,35.400000,61.540000,4.320000,92.500000,238.170000,0.319500,1010.620000,72.280000,1.410000,4.800000,0.073600,31.070000,0.080500,0.147000,7.750000,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.207279,0.786721,-0.140831,-0.528438,0.848972,-0.557290,-0.750783,-0.369949,1.275668,1.212883,1.097009,0.191052,1.460551,0.000000,0.970779,0.156012,0.491052,0.266296,0.148489,-0.637200,-0.227428,1.108473,0.687500,-0.034913,0.122122,0.266296,0.824771,-0.265372,1.584609,0.100000,0.970779,0.970134,-0.043619,0.999048,1.172471
